Min Dist,Classification
3.18568707,INF
3.1874671,INF
3.18869448,INF
3.19122624,INF
3.19139385,INF
3.19230485,INF
3.19268608,INF
3.19646454,INF
3.19785547,INF
3.19847274,INF
3.198704,INF
3.19996309,IND
3.20216179,INF
3.20260954,INF
3.20312643,INF
3.20337892,IND
3.20366859,IND
3.20544863,INF
3.20553303,INF
3.20624638,INF
3.20630932,INF
3.20697379,INF
3.20831203,IND
3.2094655,INF
3.21236992,INF
3.21275473,INF
3.21328402,INF
3.21353483,INF
3.21404123,INF
3.21503854,INF
3.21604991,INF
3.2175498,INF
3.21796894,INF
3.21820045,INF
3.22030616,INF
3.22189903,INF
3.22205758,INF
3.22266173,INF
3.22360301,INF
3.22390509,INF
3.22793245,IND
3.22793698,INF
3.2285347,IND
3.22889805,IND
3.22963881,INF
3.22988248,INF
3.23140955,INF
3.23157048,INF
3.23240399,INF
3.23249102,INF
3.2340312,IND
3.23423004,INF
3.23427367,INF
3.23587537,INF
3.23936152,INF
3.23955917,INF
3.24015379,INF
3.24242163,INF
3.24263811,INF
3.24264431,INF
3.24441433,INF
3.24530435,INF
3.24806738,INF
3.24854207,IND
3.24964452,INF
3.25155544,INF
3.25189042,IND
3.25192881,INF
3.25453401,INF
3.25511885,INF
3.25634766,INF
3.25705934,INF
3.25813293,IND
3.25963736,IND
3.2597456,INF
3.2603271,INF
3.26072764,IND
3.26259422,INF
3.2638526,INF
3.2638526,INF
3.2638526,INF
3.2638526,INF
3.26560736,INF
3.26635027,INF
3.26746964,INF
3.26878715,INF
3.26999116,INF
3.27045608,INF
3.27177262,INF
3.2721355,INF
3.27340102,INF
3.27465653,INF
3.27514076,INF
3.27565479,INF
3.27746439,INF
3.27790284,INF
3.27934718,INF
3.27990723,INF
3.28029251,INF
3.28656125,INF
3.28789592,INF
3.28803229,INF
3.28957605,INF
3.28994918,INF
3.29045892,INF
3.29208326,INF
3.29263258,INF
3.29305315,INF
3.29413557,INF
3.29526949,INF
3.29579163,IND
3.29752588,INF
3.30246544,INF
3.30315423,INF
3.30546665,IND
3.30601335,INF
3.30625439,INF
3.30744243,INF
3.30806994,INF
3.30806994,INF
3.30806994,INF
3.30806994,INF
3.30806994,INF
3.30854297,INF
3.30879164,INF
3.31245732,INF
3.31266451,INF
3.31554747,INF
3.3165164,INF
